Sample_ID	Shannon	Shannon_mean	Contamination, %	Contamination_mean, %	Type_of_kit	Sample.type
1348	1.752121419	1.48598499	6.12	5.19	Stool	Soil
1349	1.445609962	1.48598499	4.84	5.19	Stool	Soil
1350	1.260223588	1.48598499	4.61	5.19	Stool	Soil
1372	2.720160697	2.660802917	33.49	34.82	Microbiome	Soil
1373	2.573625223	2.660802917	33.2	34.82	Microbiome	Soil
1374	2.688622831	2.660802917	37.77	34.82	Microbiome	Soil
1396	5.865707454	5.681184945	11.22	9.84	Fecal	Soil
1397	5.380274719	5.681184945	9.42	9.84	Fecal	Soil
1398	5.797572662	5.681184945	8.88	9.84	Fecal	Soil
1408	5.868673254	5.585785012	4.49	3.583333333	B&T	Soil
1409	5.473964571	5.585785012	2.98	3.583333333	B&T	Soil
1410	5.414717211	5.585785012	3.28	3.583333333	B&T	Soil
1412	5.681463381	5.625516052	7.3	7.06	PwrSoil	Soil
1413	5.531064265	5.625516052	6.83	7.06	PwrSoil	Soil
1414	5.664020512	5.625516052	7.05	7.06	PwrSoil	Soil
1424	5.1023193	5.235328842	23.14	22.28666667	PureLink	Soil
1425	5.723302332	5.235328842	14.56	22.28666667	PureLink	Soil
1426	4.880364894	5.235328842	29.16	22.28666667	PureLink	Soil
1428	5.366776535	5.46102626	7.83	7.26	Monarch	Soil
1429	5.423569014	5.46102626	6.93	7.26	Monarch	Soil
1430	5.592733232	5.46102626	7.02	7.26	Monarch	Soil
1436	5.570832615	5.500539087	9.08	8.966666667	Soil	Soil
1437	5.39083661	5.500539087	9.18	8.966666667	Soil	Soil
1438	5.539948036	5.500539087	8.64	8.966666667	Soil	Soil
1472	4.288460417	4.363692381	0.35	0.796666667	Stool	Water
1473	4.231515233	4.363692381	0.62	0.796666667	Stool	Water
1474	4.571101494	4.363692381	1.42	0.796666667	Stool	Water
1476	3.359935726	3.448919933	1.46	1.786666667	Microbiome	Water
1477	3.529023618	3.448919933	1.35	1.786666667	Microbiome	Water
1478	3.457800455	3.448919933	2.55	1.786666667	Microbiome	Water
1480	4.585887946	4.549198873	1.48	1.396666667	Fecal	Water
1481	4.380866859	4.549198873	0.65	1.396666667	Fecal	Water
1482	4.680841815	4.549198873	2.06	1.396666667	Fecal	Water
1484	4.354578411	4.35405968	0.58	0.53	B&T	Water
1485	4.329421407	4.35405968	0.27	0.53	B&T	Water
1486	4.378179224	4.35405968	0.74	0.53	B&T	Water
1488	4.329298759	4.331802862	0.43	0.603333333	PwrSoil	Water
1489	4.200383944	4.331802862	0.33	0.603333333	PwrSoil	Water
1490	4.465725885	4.331802862	1.05	0.603333333	PwrSoil	Water
1492	3.790365914	3.755539288	0.17	0.26	PureLink	Water
1493	3.814332632	3.755539288	0.33	0.26	PureLink	Water
1494	3.66191932	3.755539288	0.28	0.26	PureLink	Water
1496	4.230602783	4.323805971	0.26	0.516666667	Monarch	Water
1497	4.287183266	4.323805971	0.14	0.516666667	Monarch	Water
1498	4.453631862	4.323805971	1.15	0.516666667	Monarch	Water
1500	3.783817002	3.635275589	0.11	0.373333333	Soil	Water
1501	3.531218279	3.635275589	0.57	0.373333333	Soil	Water
1502	3.590791486	3.635275589	0.44	0.373333333	Soil	Water
1527	3.97132258	3.946123578	25.17	27.76666667	Stool	Organism
1528	4.00486179	3.946123578	27.2	27.76666667	Stool	Organism
1529	3.862186365	3.946123578	30.93	27.76666667	Stool	Organism
1533	4.38484153	4.397705781	15.09	16.33333333	Microbiome	Organism
1534	4.495060209	4.397705781	20.01	16.33333333	Microbiome	Organism
1535	4.313215604	4.397705781	13.9	16.33333333	Microbiome	Organism
1536	3.956307469	3.89762162	13.46	14.11666667	Fecal	Organism
1537	3.880504956	3.89762162	14.51	14.11666667	Fecal	Organism
1538	3.856052433	3.89762162	14.38	14.11666667	Fecal	Organism
1542	1.263924912	1.579130197	1.03	1.423333333	B&T	Organism
1543	1.894472157	1.579130197	2.35	1.423333333	B&T	Organism
1544	1.578993523	1.579130197	0.89	1.423333333	B&T	Organism
1545	3.708366506	3.753629489	14.78	13.99666667	PwrSoil	Organism
1546	3.789534608	3.753629489	12.98	13.99666667	PwrSoil	Organism
1547	3.762987354	3.753629489	14.23	13.99666667	PwrSoil	Organism
1551	2.292540446	2.41465577	13.42	13.76	PureLink	Organism
1552	2.513903793	2.41465577	14	13.76	PureLink	Organism
1553	2.437523071	2.41465577	13.86	13.76	PureLink	Organism
1554	1.013052436	1.320145423	97.4	98.42	Monarch	Organism
1555	1.499024906	1.320145423	99.84	98.42	Monarch	Organism
1556	1.448358926	1.320145423	98.02	98.42	Monarch	Organism
1557	3.096909239	3.047131819	71.2	67.15333333	Soil	Organism
1558	2.849657108	3.047131819	73.02	67.15333333	Soil	Organism
1559	3.194829112	3.047131819	57.24	67.15333333	Soil	Organism
